,北京,天津,石家庄,呼和浩特,太原,沈阳,大连,长春,哈尔滨,上海,南京,杭州,宁波,合肥,福州,厦门,南昌,济南,青岛,郑州,武汉,长沙,广州,深圳,南宁,海口,唐山,秦皇岛,包头,丹东,锦州,吉林,牡丹江,无锡,扬州,徐州,温州,金华,蚌埠,安庆,泉州,九江,赣州,烟台,济宁,洛阳,平顶山,宜昌,襄樊,岳阳,常德,惠州,湛江,韶关,桂林,北海,三亚,
杭州,1268.13,1142.08,1172.98,1743.73,1355.66,1789.69,1942.11,2074.64,2343.31,175.82,275.96,0,155.15,421.55,635.7,881.21,592.27,898.79,810.43,933.56,723.34,916.28,1318.53,1329.44,1713.65,1889.23,1252.86,1396.34,1924.33,1992.4,1580.2,2082.41,2544.78,201.47,290.81,604.67,325.36,181.09,468.5,410.17,800.65,495.69,872.76,996.4,811.44,1002.59,876.5,1029.41,1028.64,914.86,1080.44,1233.7,1724.17,1094,1334.8,1883.99,2169.21,
宁波,1356.41,1230.36,1261.26,1832.01,1474.07,1877.97,2030.39,2162.92,2431.59,218.61,428.49,154.24,0,574.08,578.48,823.99,688.45,987.07,898.71,1086.09,893.83,1012.46,1414.71,1393.23,1809.83,1985.42,1341.14,1484.62,2012.61,2080.68,1668.48,2170.69,2633.06,270.5,417.19,729.19,268.14,245.49,621.03,562.7,743.43,666.17,968.94,1084.68,933.16,1155.12,1029.03,1199.89,1181.17,1085.34,1176.62,1329.88,1820.35,1190,1430.98,1980.18,2265.39,
合肥,1038.69,943.02,914.8,1528.39,1002.04,1593.36,1745.79,1878.32,2146.99,469.92,169.49,420.22,574.74,0,930.84,1058.91,438.88,640.61,710.42,579.74,381.04,747.53,1225.99,1236.9,1610.22,1796.69,1056.54,1200.02,1592.69,1796.07,1383.88,1886.09,2348.45,356.39,253.61,336.14,720.96,530.59,163.27,172.39,1043.48,305.89,819.37,896.39,490.47,648.77,522.68,690.23,629.12,634.93,780.76,1141.16,1631.63,1001,1231.37,1791.45,2076.67,
福州,1897.56,1771.5,1782.47,2369.41,1843.06,2419.11,2571.54,2704.07,2972.74,790.16,912.43,637.96,579.29,930.31,0,268.79,578.23,1528.21,1439.86,1420.41,918.46,902.24,934.09,838.03,1526.56,1471.21,1882.29,2025.77,2473.78,2621.82,2209.63,2711.84,3174.2,811.64,927.27,1241.14,322.85,545.46,1075.48,776.27,188.23,691,588.69,1625.83,1402.68,1469.2,1343.11,1224.52,1235.92,1030.34,1066.41,806.96,1306.15,788,1320.76,1465.97,1751.19,
厦门,2085.52,1989.85,1902.81,2489.75,1963.4,2640.2,2792.63,2925.15,3193.83,1034.33,1156.6,882.13,823.47,1064.94,268.69,0,698.57,1687.45,1684.03,1540.75,1038.8,877.96,700.11,604.05,1292.58,1237.23,2103.38,2246.86,2594.13,2842.91,2430.72,2932.92,3395.29,1055.82,1171.45,1382.98,567.03,789.63,1210.11,896.61,96.12,811.34,443.05,1870,1537.31,1589.54,1463.45,1314.35,1356.26,1006.05,1042.12,572.98,1072.17,643,1182.61,1231.99,1517.21,
南昌,1429.32,1362.73,1228.54,1815.49,1289.13,2013.07,2165.5,2298.02,2566.7,769.75,589.2,587.58,676.76,437.81,577.82,691.27,0,1060.32,1130.13,866.48,364.53,392.82,795.07,805.98,1190.19,1365.78,1476.25,1619.73,1919.86,2215.78,1803.59,2305.79,2768.16,786.07,673.32,755.85,649.81,459.43,582.98,343.74,675.84,137.07,388.45,1316.1,910.18,915.27,789.18,670.6,681.99,391.2,556.99,710.24,1200.71,570,811.34,1360.54,1645.76,
济南,424.56,328.89,300.68,900.15,513.49,979.24,1131.66,1264.19,1532.86,858.54,655.93,917.41,999.64,658.7,1545.41,1700.01,1079.98,0,365.35,461.16,865.32,1211.92,1867.08,1878,2074.62,2437.79,442.41,585.89,1080.75,1181.95,769.75,1271.96,1734.33,761.46,632.08,333.79,1235.06,1090.8,515.58,813.49,1684.58,946.99,1460.47,458.96,216.22,566.87,562.63,1009.87,774.99,1045,1150.04,1782.26,2272.72,1642,1695.76,2285.72,2717.77,
青岛,660.55,534.49,641.15,1136.14,853.96,1182.1,1334.53,1467.05,1735.73,721.21,569.74,811.3,893.54,709.68,1439.3,1684.8,1130.96,366.55,0,730.81,1068.82,1435.31,1918.07,1928.98,2298,2488.77,645.28,788.76,1316.74,1384.81,972.62,1474.82,1937.19,655.35,525.97,435.69,1128.95,984.69,617.48,844.12,1604.25,997.97,1511.45,249.87,426,836.51,832.27,1279.51,1044.64,1314.64,1419.68,1833.24,2323.71,1693,1919.15,2483.53,2768.75,
郑州,696.95,698.35,418.31,960.78,434.43,1348.7,1501.12,1633.65,1902.32,945.64,666.99,929.97,1074.93,574.97,1416.68,1530.13,862.87,438.22,725.94,0,508,807.13,1478.57,1583.58,1669.82,2049.28,811.87,955.35,1025.08,1551.41,1139.21,1641.42,2103.79,832.1,709.04,380.71,1254.15,1095.45,482.54,737.25,1514.7,729.88,1243.36,898.66,317.56,141.96,141.57,625.19,390.32,660.32,765.36,1565.15,1884.21,1266,1290.97,1880.93,2329.26,
武汉,1147.44,1126.07,889.67,1460.46,934.1,1776.41,1928.84,2061.37,2330.04,829.44,529.01,729.11,900.89,379.36,924.34,1037.79,370.52,847.05,1069.94,511.46,0,343.32,1014.76,1119.76,1206.01,1585.47,1239.59,1383.07,1562.88,1979.12,1566.93,2069.14,2531.5,715.91,613.13,673.73,845.74,655.36,493.3,366.06,1022.36,237.54,751.02,1255.91,726.4,556.5,430.41,325.37,325.02,230.72,409.99,1072.81,1420.4,802,827.16,1417.12,1865.45,
